Retailer,Article,Fit,Material,Rise (pants/skirts),Embellishment,Length (dress/skirts),Sleeve-type,Neckline,Pockets,Color
H&M,dress,a-line/loose,NA,NA,NA,mini,long balloon,v-neck,NA,yellow print
H&M,dress,fit and flare/wrap,NA,NA,NA,mini,long sleeves,v-neck,NA,red print
H&M,dress,fit and flare,NA,NA,ruched waist,mini,short open sleeves,round,NA,pink 
H&M,dress,fit and flare,NA,NA,twisted bust/chest detail,midi,spaghetti straps,v-neck,NA,brown/black
H&M,dress,fitted/bodycon,NA,NA,ribbed,mini,short sleeves,low-cut round,NA,tan/grey/black
H&M,dress,fit and flare,NA,NA,ruffle skirt/lined cups/bustier,mini,spaghetti straps,v-neck,NA,blue/black/white
H&M,dress,loose,NA,NA,tiered skirt,maxi,spaghetti straps,v-neck,NA,blue/black/white
H&M,dress,fit and flare/loose,NA,NA,smocked / ruffle,maxi,spaghetti straps,sweeheart,NA,pink/black/yellow floral 
H&M,dress,fit and flare/loose,crepe ,NA,tie detail ,maxi,spaghetti straps,v-neck,NA,lilac(purple)/yellow floral 
H&M,dress,fit and flare,crepe ,NA,twisted detail,maxi,spaghetti straps,low-cut v-neck,NA,lilac(purple)/black/yellow and pink floral 
H&M,dress,fit and flare,chiffon,NA,NA,mini,butterfly short sleeves,v-neck,NA,black
H&M,dress,fitted/bodycon,jersey,NA,draped,mini,wide straps,square neck,NA,red print
H&M,dress,fitted/slip/flounce,satin,NA,assymetrical ruffle skirt,mini,spaghetti straps,low-cut v-neck,NA,cream(white/beige)
H&M,dress,fitted/bodycon,jersey,NA,ribbed,mini,spaghetti straps,low-cut v-neck,NA,tan/black/beige
H&M,dress,fitted/bodycon,jersey,NA,lined cups/bustier,mini,spaghetti straps,sweeheart,NA,orange
H&M,dress,fitted,crochet,NA,cut out back,mini,wide straps,high round,NA,black and white stripes
H&M,dress,fitted,NA,NA,racer back high slit see through,midi,wide straps,sweeheart,NA,cream/brown
H&M,dress,fitted,crochet,NA,ruffle ,maxi,spaghetti straps,high round,NA,beige
H&M,dress,loose,NA,NA,NA,maxi,3/4 puff sleeves,off-shoulder,NA,black/blue
H&M,dress,fit and flare ,NA,NA,snocked back lined cups ,mini,short sleeve puff,sweeheart,NA,cream and green checkered / blue and white floral 
H&M,dress,fitted,NA,NA,gathered wrap skirt ,mini,short sleeve puff,sweeheart,NA,pink 
H&M,top,fit and flare/loose,cotton,NA,ruffle trim smocked back,mini,spaghetti straps,v-neck,NA,pink/white/black 
H&M,top,fitted,cotton,NA,NA,NA,short sleeve puff ,round neck ,NA,green/pink/white/black/blue
H&M,top,fitted,NA,NA,crosover straps,crop,spaghetti straps,halterneck,NA,red/cream(white/beige)
H&M,skirt,fit and flare/fitted,satin,NA,flared hem ,midi,NA,NA,NA,cream/beige/tiger print
