article,fit,material,embellishment,length,sleeve,neckline,pockets,brand,color,backless,halter
dress,loose,silk,watercolor print,maxi,straps,v-neck,n,Cortana,green,y,y
dress,fit-flare,poplin,small bow,midi,straps,square,n,Veronica Beard,white,y,y
dress,straight,jersey,floral,maxi,straps,mockneck,n,Eywasouls Malibu,multicolored,y,y
dress,loose,poplin,small cutouts,midi,puff-sleeve,square,n,Ulla Johnson,orange,n,n
dress,straight,viscose,floral,maxi,flared sleeve,high-neck,n,Mango,multicolored,n,n
dress,fit-flare,cotton,floral; paisley,maxi,straps,square,n,Boteh Mar,multicolored,n,n
dress,straight,linen,shoulder bows,midi,straps,v-neck,n,Deiji Studios,black,n,n
dress,fit-flare,poplin,stripes,midi,straps,square,n,Batsheva & Laura Ashley Gwen,blue,n,y
dress,fit-flare,cotton,embroidery,midi,straps,square,n,Sea Renee,multicolored,n,n
dress,fit-flare,cotton; linen,shoulder bows,midi,straps,square,n,Ulla Johnson,off-white,n,n
dress,fit-flare,poplin,floral; shoulder bows,maxi,straps,v-neck,n,Erdem Azami,multicolored,y,n
dress,loose,silk; cotton,floral,maxi,cap sleeves,high-neck,n,SIR,brown,n,n
dress,straight,linen,train,maxi,straps,v-neck,n,Cos,orange,y,n
dress,fit-flare,viscose; silk,polka-dots,mini,flared sleeve,high-neck,n,Saint Laurent,black,y,n
dress,loose,viscose; silk,floral; cutouts,maxi,puff-sleeve,high-neck,n,Loewe,off-white,n,n
dress,loose,taffeta,wide flounce,maxi,long-sleeve,high-neck,y,MaxMara,yellow,n,n
dress,fit-flare,cotton,corset; floral,midi,straps,v-neck,n,Rosie Assoulin,multicolored,y,n
dress,straight,chiffon,floral; shoulder bows,maxi,straps,square,n,Holzweiler,yellow,y,n
dress,straight,satin,draped,mini,long-sleeve,off-shoulder,n,Reformation,off-white,y,n
dress,fit-flare,silk,floral,midi,one-shoulder,one-shoulder,n,Doen,multicolored,y,n
dress,fit-flare,polyester,embroidery; shoulder bows,maxi,straps,square,n,Agua Bendita,white,n,n
dress,loose,cotton,embroidery; bow,midi,puff-sleeve,v-neck,y,Ralph Lauren,brown,n,n
dress,straight,linen,floral,mini,cap sleeves,high-neck,n,Bernadette,multicolored,y,n
dress,fit-flare,cotton,paisley; shoulder bows,maxi,straps,square,n,Zimmerman,multicolored,n,n
dress,fit-flare,poplin,lace,maxi,short-sleeve,high-neck,n,Loveshack Fancy,white,n,n
dress,loose,linen,floral,midi,puff-sleeve,high-neck,n,Alemais,multicolored,n,n
dress,loose,poplin,floral; paisley,maxi,puff-sleeve,high-neck,n,Hannah Artwear,multicolored,n,n
dress,loose,cotton,pleated,maxi,straps,square,n,Raey,beige,n,n
dress,loose,poplin,tie-dye,midi,puff-sleeve,v-neck,n,Altuzarra,multicolored,n,n
dress,loose,poplin,ruched,midi,cap sleeves,v-neck,y,Staud,white,b,n
