article      ,fit,material,embellishment,length,sleeve,neckine,pockets,brand,color,rise,cropped
shirt,loose,cotton,collar; buttons; layering,NA,short-sleeve,v-neck,y,Bottega Veneta,multicolored,NA,n
shirt,loose,poplin,layering; buttons,NA,long-sleeve,high-neck,n,Valentino,white,NA,n
pants,loose,wool,pleated,long,NA,NA,y,The Row,brown,high-rise,NA
shirt,loose,cotton,draped,NA,short-sleeve,high-neck,n,Fforme,white,NA,n
skirt,straight,viscose; wool,layering; slit,midi,NA,NA,y,Victoria Beckham,black,mid-rise,NA
dress,fitted,jersey,knot,maxi,long-sleeve,high-neck,n,Saint Laurent,brown,NA,NA
bodysuit,loose,jersey,draped; layering,NA,long-sleeve,one-shoulder,n,Esse Studios,black,NA,NA
dress,fitted,jersey,ruched; slit,maxi,long-sleeve,high-neck,n,Another Tomorrow,black,NA,NA
shirt,fitted,viscose,ruched,NA,long-sleeve,high-neck,n,Givenchy,pink,NA,n
shirt,fitted,jersey,cutouts; layering; draped,NA,long-sleeve,high-neck,n,Victoria Beckham,beige,NA,n
skirt,fitted,jersey,ruched,mini,NA,NA,n,Tory Burch,blue,high-rise,NA
shirt,fitted,silk,crochet; pleated; open back; layering; asymmetry,NA,thick-strap,v-neck,n,Dries Van Noten,multicolored,NA,n
skirt,loose,denim,layering; raw hems; assymetry,midi,NA,NA,n,Dries Van Noten,blue,mid-rise,NA
shirt,straight,wool,layered; raw hems,NA,thin-strap,v-neck,n,Miu Miu,beige,NA,y
skirt,straight,twill,raw hems,midi,NA,NA,y,Maison Margiela,black,mid-rise,NA
shirt,fitted,cotton,sheer,NA,thick-strap,high-neck,n,Bite,white,NA,n
skirt,loose,viscose,layering; sheer; bow; sequins,midi,NA,NA,n,Dries Van Noten,pink,mid-rise,NA
shirt,fitted,nylon,sheer; raw hems,NA,short-sleeve,high-neck,n,Miu Miu,green,NA,n
skirt,straight,nylon,sheer; raw hems,midi,NA,NA,n,Miu Miu,green,mid-rise,NA
shirt,fitted,cotton,sheer,NA,long-sleeve,turtle-neck,n,Helmut Lang,pink,NA,n
shirt,loose,gauze,sheer,NA,short-sleeve,high-neck,n,Tibi,yellow,NA,n
bodysuit,loose,denim,buttons; collar,NA,short-sleeve,v-neck,y,Alaia,blue,NA,NA
pants,straight,denim,slim-fit,long,NA,NA,y,Alaia,blue,high-rise,n
shirt,loose,cotton,flowers; ruffles; assymetry; applique,NA,short-sleeve,high-neck,n,Dries Van Noten,blue,NA,n
dress,straight,jersey,embroidery; flower applique; buttons ,midi,short-sleeve,v-neck,n,Prada,white,NA,NA
shirt,fitted,viscose,flowers applique; assymetry,NA,long-sleeve,high-neck,n,Coperni,white,NA,n
dress,fitted,viscose,flower applique,midi,thick-strap,high-neck,n,Blumarine,yellow,NA,NA
shirt,fitted,bamboo lyocell,sheer,NA,long-sleeve,crew-neck,n,Baserange,beige,NA,n
skirt,straight,viscose; rayon; wool,sequins; layering; fringe; embroidery,midi,NA,NA,n,Jil Sander,silver,high-rise,NA
