Article,Fit,Material,Rise (pants/skirts),Embellishment,Length (dress/skirts),Sleeve-type,Neckline,Pockets,Color,Link
Pant,loose,linen,high,NA,NA,NA,NA,Yes,black/blue/green,https://www.nordstrom.com/s/caslon-wide-leg-pull-on-linen-blend-pants-regular-petite/5810035?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001
pant,relaxed,linen,adjustable,NA,NA,NA,NA,yes,black/white/khaki,https://www.nordstrom.com/s/caslon-linen-blend-pants-regular-petite/5763589?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001
dress,fitted,NA,NA,NA,maxi,spaghetty strap,scoop ,NA,gray/red/brown/nude/olive,https://www.nordstrom.com/s/skims-soft-lounge-long-slipdress-regular-plus-size/5897391?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=051
shirt,fitted,cotton,NA,NA,NA,short,round,NA,gray/black/blue/pink/white,https://www.nordstrom.com/s/skims-stretch-cotton-t-shirt-regular-plus-size/5846438?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=900
one-piece,loose,cotton,NA,NA,NA,spaghetti,v-neck,yes,purple/white/red/black,https://www.nordstrom.com/s/hot-shot-jumpsuit/5808414?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=422
shirt,relaxed,polyester,NA,ruffle sleeve,NA,3/4,split,NA,black/white/blue/pink/red/purple,https://www.nordstrom.com/s/vince-camuto-ruffle-sleeve-split-neck-blouse/5731454?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001
shirt,relaxed,chiffon,NA,patterned,NA,long,split,NA,many,https://www.nordstrom.com/s/kut-from-the-kloth-jasmine-top/4856576?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=004
pant,loose,NA,high,NA,NA,NA,NA,yes,black/tan,https://www.nordstrom.com/s/open-edit-drawstring-wide-leg-pants/6422605?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001
shirt,fitted,NA,NA,NA,NA,wide,NA,NA,black/white/yelllow/pink/green,https://www.nordstrom.com/s/free-people-kate-rib-stretch-cotton-tank/7191625?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001
dress,fitted,NA,NA,NA,maxi,wide,v-neck,NA,red/blue/black/green/pink,https://www.nordstrom.com/s/v-neck-jersey-maxi-dress-regular-petite/3965546?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=884
shirt,relaxed,cotton,NA,crinkle texture,NA,long,spread collar,yes,blue/coral/white,https://www.nordstrom.com/s/long-sleeve-gauze-button-up-shirt/6510799?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=451
pant,wide,linen,high,NA,NA,NA,NA,yes,black/olive/white,https://www.nordstrom.com/s/treasure-and-bond-linen-blend-wide-leg-pants/6296816?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001
pant,wide,linen,high,NA,NA,NA,NA,yes,tan/blue/red/white/purple,https://www.nordstrom.com/s/open-edit-linen-blend-trousers/6508516?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=230
pant,relaxed,NA,drawstring,NA,NA,NA,NA,yes,gray/black/blue/pink,https://www.nordstrom.com/s/performance-joggers/5093594?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=025
dress,relaxed,NA,NA,A-line,midi,puff sleeve,off the shoulder,NA,orange/multi,https://www.nordstrom.com/s/off-the-shoulder-a-line-dress/7312428?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=800
dress,fitted,NA,NA,NA,midi,one-sleeve,asymmetrical,NA,orange/black/blue/pink/white/red,https://www.nordstrom.com/s/dress-the-population-tiffany-one-shoulder-midi-dress/5064746?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=800
shirt,relaxed,NA,NA,pleated,NA,short sleeve,jewel,NA,blue/pink/orange/green/black/red,https://www.nordstrom.com/s/cece-pleat-front-top/5865758?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=400
blazer,relaxed,NA,NA,NA,NA,long,NA,yes,black/gray/brown/tan/white,https://www.nordstrom.com/s/open-edit-unstructured-blazer/5829291?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001
dress,fitted,NA,NA,NA,midi,flutter sleeve,v-neck,NA,black/red/blue,https://www.nordstrom.com/s/maggy-london-flutter-sleeve-faux-wrap-midi-dress/5604756?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001
shorts,relaxed,denim,mid,cutoff,NA,NA,NA,yes,blue,https://www.nordstrom.com/s/kut-from-the-kloth-gidget-denim-shorts-consolidated/4531138?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=402
dress,relaxed,polyester,NA,ruffles,midi,flutter,jewel,NA,black/blue/green/pink/white,https://www.nordstrom.com/s/cece-clip-dot-flutter-sleeve-midi-dress/7045421?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=300
shirt,relaxed,linen,NA,NA,NA,short,split collar,NA,blue/purple/pink,https://www.nordstrom.com/s/caslon-linen-blend-camp-shirt/5809723?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=100
shirt,fitted,cotton,NA,ribbed knit,NA,puff sleeve,crewneck,NA,blue/pink/white/yellow,https://www.nordstrom.com/s/1state-1-state-puff-sleeve-rib-knit-t-shirt/5794592?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=410
shirt,relaxed,NA,NA,NA,NA,short,rounded V,yes,pink/gray/blue/black/white,https://www.nordstrom.com/s/caslon-rounded-v-neck-t-shirt/4061980?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=687
shirt,fitted,NA,NA,corset,NA,wide,square,NA,black,https://www.nordstrom.com/s/rib-corset-top/7330367?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001
shirt,relaxed,polyester,NA,NA,NA,sleeveless,v-neck,NA,many,https://www.nordstrom.com/s/halogen-raw-edge-tank/5172214?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001
pants,fitted,NA,high,NA,NA,NA,NA,yes,gray/green/white/red/blue,https://www.nordstrom.com/s/wit-and-wisdom-absolution-high-waist-ankle-skinny-pants-regular-petite-nordstrom-exclusive/5109069?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=278
pant,wide,NA,high,NA,NA,NA,NA,yes,tan/purple/pink/white/black/green,https://www.nordstrom.com/s/favorite-daughter-the-favorite-pant-pleat-pants/6094040?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=250
dress,fitted,NA,NA,sheath/ruching,midi,sleeveless,scoop neck,NA,pink/green/blue/black/white/red/tan,https://www.nordstrom.com/s/ruched-side-sleeveless-dress-regular-plus-size/5795330?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=935
shirt,slim,NA,NA,"mesh sleeve, dots",NA,puff sleeve,crewneck,NA,black/green/blue/red/pink,https://www.nordstrom.com/s/cece-puff-sleeve-mixed-media-top/5590535?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001
pant,slim,NA,high,drawstring,NA,NA,NA,yes,black/gray/blue,https://www.nordstrom.com/s/zella-live-in-pocket-joggers/5220568?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001
shirt,relaxed,cotton,NA,cropped,NA,short rolled sleeve,crewneck,NA,black/white/pink,https://www.nordstrom.com/s/free-people-we-the-free-you-rock-t-shirt/5621023?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001
pant,wide,NA,high,NA,NA,NA,NA,yes,black/pink/blue/green/tan,https://www.nordstrom.com/s/high-waist-wide-leg-pants/7016003?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001
shirt,relaxed,NA,NA,ruffle/buttons,NA,short,v-neck,NA,green/pink/yellow/red/black,https://www.nordstrom.com/s/cece-ruffle-sleeve-blouse/5255996?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=954
shirt,relaxed,polyester,NA,pleated,NA,long,split,NA,many,https://www.nordstrom.com/s/nydj-high-low-crepe-blouse-regular-petite/3833447?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001
shirt,fitted,NA,NA,NA,NA,sleeveless,crewneck,NA,black/gray/white/tan,https://www.nordstrom.com/s/rib-tank/6546802?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=651
dress,loose,rayon,NA,NA,maxi,spaghetti stra,v-neck,NA,black/green/blue/red/pink/yellow,https://www.nordstrom.com/s/woven-favorite-dress/6267014?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=301
shorts,relaxed,linen/cotton,high,NA,NA,NA,NA,yes,pink/gray ,https://www.nordstrom.com/s/madewell-clean-linen-cotton-pull-on-shorts/7332223?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=311
one-piece,relaxed,NA,NA,overall,NA,tie-straps,square,yes,gray/pink/green/striped,https://www.nordstrom.com/s/billabong-wild-pursuit-overalls/5188723?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=407
