Article,Fit,Material,Rise (pants/skirts),Embellishment,Length (dress/skirts),Sleeve-type,Neckline,Pockets,Color,Link
dress,relaxed,linen,NA,embroidered,mini,spaghetti strap,V-neck,NA,white/black,https://www.zara.com/us/en/embroidered-linen-blend-short-dress-p00881304.html?v1=227512697&v2=2184058
top,relaxed,cotton,NA,embroidered,NA,spaghetti strap,V-neck,NA,white/black,https://www.zara.com/us/en/embroidered-top-p00881050.html?v1=261144546&v2=2184058
top,relaxed,linen,NA,NA,NA,long sleeve,V-neck,NA,white/black,https://www.zara.com/us/en/linen-shirt-with-knot-p05427002.html?v1=271796992&v2=2184058
pant,straight,cotton,high,NA,NA,NA,NA,Yes,white/tan/pink/blue/khaki/chalk/black/grey,https://www.zara.com/us/en/trf-high-rise-straight-cargo-pants-p05520165.html?v1=271796987&v2=2184058
pant,relaxed,polyester,mid,pattern print,NA,NA,NA,Yes,multi,https://www.zara.com/us/en/patchwork-pants-p02616127.html?v1=272056917&v2=2184058
dress,loose,NA,NA,pattern print,midi,sleeveless,collared,NA,green,https://www.zara.com/us/en/shiny-midi-dress-p05598051.html?v1=228300394&v2=2184058
top,oversized,cotton,NA,embroidered,NA,long-sleeve,collared,Yes,khaki,https://www.zara.com/us/en/embroidered-overshirt-p04877075.html?v1=272056926&v2=2184058
dress,loose,NA,NA,floral print,midi,wide strap,straight,NA,ecru,https://www.zara.com/us/en/floral-print-dress-p05216064.html?v1=272056921&v2=2184058
pant,straight,cotton,high,pattern print,NA,NA,NA,Yes,green,https://www.zara.com/us/en/cotton-print-pants-p03198047.html?v1=272056703&v2=2184058
top,relaxed,cotton,NA,pattern print,NA,balloon long sleeve,round,NA,green,https://www.zara.com/us/en/printed-cotton-top-p03198045.html?v1=272056701&v2=2184058
top,relaxed,cotton,NA,pattern print,NA,short,collared,Yes,white/black,https://www.zara.com/us/en/cotton-pocket-shirt-p02183058.html?v1=272056609&v2=2184058
top,relaxed,linen blend,NA,NA,NA,long,V-neck,Yes,white/beige/khaki/striped/lavender/green/pink,https://www.zara.com/us/en/linen-blend-tab-sleeve-shirt-p04387056.html?v1=271865557&v2=2184058
dress,relaxed,linen blend,NA,pattern print,midi,spaghetti strap,V-neck,NA,multi,https://www.zara.com/us/en/linen-blend-printed-dress-p00387073.html?v1=257517321&v2=2184058
top,relaxed,NA,NA,embroidered,NA,long,collared,NA,white,https://www.zara.com/us/en/openwork-embroidery-shirt-p03666131.html?v1=259651565&v2=2184058
pant,relaxed/tapered,NA,high,belted,NA,NA,NA,Yes,ecru,https://www.zara.com/us/en/belted-tapered-pants-p02298043.html?v1=256936703&v2=2184058
skirt,loose,NA,high,embroidered/belted,midi,NA,NA,NA,white,https://www.zara.com/us/en/embroidered-eyelet-midi-skirt-p03424503.html?v1=271865558&v2=2184058
top,relaxed,cotton,NA,striped,NA,long,V-neck,NA,white,https://www.zara.com/us/en/striped-fabric-shirt-p02298110.html?v1=271865560&v2=2184058
pant,wide-leg,linen,high,NA,NA,NA,NA,Yes,sand/black,https://www.zara.com/us/en/wide-leg-linen-pants-p08372140.html?v1=263406707&v2=2184058
short,baggy,cotton,high,belted,NA,NA,NA,Yes,ecru/blue/white,https://www.zara.com/us/en/z1975-belted-baggy-paperbag-shorts-p08228043.html?v1=271865556&v2=2184058
dress,loose,cotton,NA,embroidered,mini,long,V-neck/collared,NA,blue,https://www.zara.com/us/en/openwork-embroidered-dress-p03666126.html?v1=256429214&v2=2184058
dress,fitted,tulle,NA,NA,midi,strapless,straight,NA,multi/green/black,https://www.zara.com/us/en/strapless-printed-tulle-dress-p05039373.html?v1=272056875&v2=2184058
